feature,importance,target
no2_trop_mean_filled,0.00996289444824838,composite_index
gravity_access_viirs,0.009457629162199216,composite_index
airport_count_mapped,0.009250297055499752,composite_index
temperature_mean,0.008745235355544837,composite_index
climate_comfort,0.008258045481297662,composite_index
arterial_share,0.007507655180611521,composite_index
no2_trop_p90_filled,0.006210962809268651,composite_index
ghsl_built_surface_km2,0.005752789119274044,composite_index
road_length_km_total,0.005531088878207125,composite_index
spatial_lag_log_viirs_ntl_wdist,0.005505063193357583,composite_index
flight_degree_centrality,0.005118507113447279,composite_index
spatial_lag_log_viirs_ntl_wecon,0.004405751688767976,composite_index
ghsl_built_density,0.004370547576311393,composite_index
road_access_score,0.003686253967293332,composite_index
observed_livability_signal,0.0035807809285448434,composite_index
ghsl_built_volume_yoy,0.0025874110915189864,composite_index
ghsl_built_surface_yoy,0.0020111531443373454,composite_index
no2_trop_anomaly_abs_mean_filled,0.0018957856014988833,composite_index
road_tier_code,0.0015693464794854129,composite_index
osm_hist_poi_nightlife_count,0.001498486353629098,composite_index
osm_hist_building_count,0.0014205178468727877,composite_index
osm_hist_poi_food_count,0.0013766520126157866,composite_index
viirs_ntl_p90,0.0013605802103374815,composite_index
policy_intensity_infra_iso_year,0.0012603887496067012,composite_index
policy_intensity_sum_iso_year,0.0010549272075019269,composite_index
observed_innovation_signal,0.0009796182133752452,composite_index
transport_intensity,0.0008762897957563003,composite_index
poi_diversity,0.0006910840615251899,composite_index
precipitation_sum,0.0006649190423298506,composite_index
policy_news_proxy_score,0.0006641905680572882,composite_index
osm_hist_road_length_m,0.0006546645251135489,composite_index
viirs_log_mean,0.0006192628929674673,composite_index
viirs_ntl_mean,0.000550513001149045,composite_index
amenity_ratio,0.0005426259942281812,composite_index
policy_intensity_mean_iso_year,0.00043788089266724755,composite_index
commerce_ratio,0.00040852549181170233,composite_index
osm_hist_poi_count,0.000379085846041021,composite_index
policy_event_count_infra_iso_year,0.0003725817345287796,composite_index
policy_event_new_count_iso_year,0.00036139848956787905,composite_index
osm_hist_poi_retail_count,0.00035344407266888893,composite_index
policy_event_coarse_type_count_iso_year,0.0003464508293538898,composite_index
policy_event_count_iso_year,0.00032665844723537413,composite_index
observed_activity_signal,0.0002885178099874961,composite_index
policy_intensity_eco_reg_iso_year,0.00028032229031947213,composite_index
viirs_physical_continuity,0.000279962717770748,composite_index
policy_event_type_count_iso_year,0.00027129661108928196,composite_index
osm_hist_poi_food_yoy,0.00011804527565036111,composite_index
no2_trop_anomaly_mean_filled,0.00011183684341985977,composite_index
osm_hist_poi_yoy,0.0001100217496734718,composite_index
poi_backcast_scale,0.00010464984452453672,composite_index
no2_recent_spike_filled,9.229881404304868e-05,composite_index
osm_hist_building_yoy,8.422377290997025e-05,composite_index
road_arterial_growth_proxy,5.1805854245966556e-05,composite_index
osm_hist_poi_retail_yoy,4.8390885906119516e-05,composite_index
osm_hist_poi_nightlife_yoy,4.377987055366057e-05,composite_index
observed_dynamic_signal,4.282586482624622e-05,composite_index
road_growth_intensity,3.288616496186874e-05,composite_index
viirs_physical_stress,2.9422173317965395e-05,composite_index
viirs_intra_year_decline,2.9101899424141283e-05,composite_index
observed_physical_stress_signal,2.6959485648110825e-05,composite_index
viirs_intra_year_recovery,2.6698844621307672e-05,composite_index
viirs_recent_drop,2.4716750024107385e-05,composite_index
osm_hist_road_yoy,1.947703856364713e-05,composite_index
viirs_ntl_yoy,1.6607039440669994e-05,composite_index
policy_intensity_sum_iso_year_yoy,6.104132759949387e-06,composite_index
road_local_growth_proxy,6.053257919613796e-06,composite_index
no2_trop_yoy_mean_filled,4.893601588052223e-06,composite_index
no2_year_coverage_share,4.715499263308159e-06,composite_index
has_no2_observation,1.3687244800999744e-06,composite_index
policy_event_count_eco_reg_iso_year,1.3011470536031993e-06,composite_index
no2_backcast_flag,2.4112765020379034e-07,composite_index
has_social_observation,0.0,composite_index
social_sentiment_delta_1,0.0,composite_index
social_sentiment_buzz,0.0,composite_index
viirs_year_coverage_share,0.0,composite_index
policy_event_count_iso_year_yoy,0.0,composite_index
has_viirs_observation,0.0,composite_index
has_poi_observation,0.0,composite_index
policy_intensity_digital_iso_year,0.0,composite_index
policy_event_count_digital_iso_year,0.0,composite_index
has_no2_observation_or_backcast,0.0,composite_index
ghsl_built_contraction,0.0,composite_index
has_network_connectivity_observation,0.0,composite_index
