auc,ap,brier
0.9484519872700927,0.891551713445351,0.08981762299200884
0.9443029957357187,0.8814897624864385,0.09421800747417851
0.9461438026154989,0.8903704613160736,0.09434787835482447
0.9470728291316527,0.8903301695996256,0.09429898333304111
0.9451516755792361,0.8843174038778966,0.09471368135030113
0.9422343885675599,0.8751181112421795,0.09654993223865246
0.943635679041424,0.8809990688719431,0.09444231124871841
0.9445426401431158,0.8775812636158348,0.0925749436740559
0.9484388358847624,0.8956043714622336,0.09342787747958559
0.9436969704913449,0.8808881348735841,0.09443672812469683
0.9433507733877604,0.8687763939972374,0.0923317095670743
0.9486378929614689,0.8902009720363341,0.0921895773970449
0.9485603368199431,0.887055612543526,0.09062755733947142
0.951722326758208,0.8981130044054895,0.08824109784107576
0.9493199945251161,0.8966305140009044,0.0913231803029535
0.9471137947910742,0.8905522788452934,0.09187565701578428
0.9495266245876617,0.8948687319285382,0.09293090552501888
0.9533419866292621,0.8956252129547987,0.08712261677442262
0.9520573517827954,0.886461804140745,0.08735240528230694
0.9430568147137497,0.8748304557103077,0.09365535837584082
0.9415672136036878,0.8758781061713105,0.09617327837778061
0.953086727751066,0.9012670001252672,0.08957352260739943
0.949727986671991,0.8970730121138328,0.09144542820412896
0.9500480261159386,0.8976834152347307,0.09237479386303746
0.949259842537293,0.8875771852961956,0.08931153624583403
0.9484181534601321,0.8867729037749027,0.09289257014856053
0.947679593735006,0.8831832802789349,0.09142986997353475
0.9447738272698941,0.8873990730992317,0.09545298393871791
0.9572948561954298,0.9029377123036363,0.08445523670403683
0.9430793264790986,0.878024820753464,0.09447506416121412
0.9543431690400953,0.9050163779875691,0.08741856478770793
0.9457428455367007,0.8902492195513187,0.09345088146302125
0.9504143880338909,0.8906578053326633,0.08887810041685801
0.9539978855307765,0.8977240993177741,0.08738249694987829
0.9508229466283158,0.8909170342650994,0.08931973573363408
0.9383556904077504,0.8761349000198531,0.09985104519238681
0.9443611973509468,0.8808069053872584,0.09399662446271466
0.9475944582721347,0.8879669875538715,0.09184547782675635
0.9459812063127291,0.8844671052090667,0.093576702108617
0.9470733167541678,0.8916738239090594,0.09171377986557783
0.9480328328328329,0.8946747166549901,0.09388269418418883
0.9491865939338293,0.8827549884973281,0.08955080425738705
0.9465669056044919,0.8873236523048952,0.0927359146921078
0.947541423935395,0.8878899313244224,0.09155549579782042
0.9489350921563193,0.8916492024785523,0.09169765267606181
0.9460318739007263,0.8910886869158703,0.09416905825328613
0.9478427054873656,0.887499195281588,0.09216508840860023
0.9479349841823934,0.8885300785677522,0.09266263813533043
0.948191713013032,0.8854129814283644,0.09251530688133183
0.9575559070579251,0.9119140275986055,0.0852997648618703
0.9504177574597221,0.8984629355577923,0.09067085771421123
0.9509763638593833,0.8968921916479877,0.08834668741889252
0.9429572902942469,0.8775136401404253,0.0945408515067814
0.9524145988650272,0.8949187504496575,0.08836458065793149
0.9494519867763196,0.896437087967991,0.0915708343663675
0.948218616911626,0.8901244544195602,0.09137315519345543
0.9493067221376451,0.8880111751552013,0.09073397826030363
0.9469461297677474,0.8919157854176165,0.09426156546065136
0.9522502078713969,0.8983885717645482,0.09032272678754025
0.9439138788426762,0.8848085936523227,0.09461808202696388
