spec_id,outcome,control_set,controls_count,window,with_treated_trend,weighting,coef,stderr,t_value,p_value_norm,n_obs
29,composite_index,baseline,3,exclude_2020,0,unweighted,0.1832298608448507,0.11485143410729881,1.5953641525596454,0.1106308273715706,2950
30,composite_index,baseline,3,exclude_2020,0,population_weighted,0.5994493623914455,0.20707020958732028,2.8949087538285476,0.0037926876156522127,2950
31,composite_index,baseline,3,exclude_2020,1,unweighted,-0.1552605168667237,0.1640692457586556,-0.9463109076219595,0.3439900315645592,2950
32,composite_index,baseline,3,exclude_2020,1,population_weighted,0.33871722166900686,0.23925648303510777,1.4157076011992724,0.15686113194454032,2950
33,composite_index,digital_labor,2,full_window,0,unweighted,-0.13839786443489918,0.12676082929497123,-1.0918030846330982,0.2749196629428958,3245
34,composite_index,digital_labor,2,full_window,0,population_weighted,-0.19707419477737181,0.23555482294074723,-0.836638334622191,0.4027958908460385,3245
35,composite_index,digital_labor,2,full_window,1,unweighted,-0.5077294831311101,0.175051431809291,-2.9004588987552737,0.0037261670151549353,3245
36,composite_index,digital_labor,2,full_window,1,population_weighted,-0.5505943872572385,0.23767087859515101,-2.3166253708142426,0.02052414809260572,3245
37,composite_index,digital_labor,2,late_start,0,unweighted,0.0960089670980812,0.14577910478054576,0.6585921023634493,0.5101577357215803,2655
38,composite_index,digital_labor,2,late_start,0,population_weighted,0.410374057922041,0.2356833264299458,1.741209546463271,0.0816468544950566,2655
39,composite_index,digital_labor,2,late_start,1,unweighted,-0.13245962454820526,0.18289140398532186,-0.7242528717141673,0.46891050452726546,2655
40,composite_index,digital_labor,2,late_start,1,population_weighted,0.32964105969633817,0.22601376185034544,1.4584999470722908,0.14470278971599138,2655
41,composite_index,digital_labor,2,trim_tail,0,unweighted,-0.16938427516504412,0.1372455100791911,-1.2341698833521682,0.2171396072475109,2950
42,composite_index,digital_labor,2,trim_tail,0,population_weighted,-0.22177395550402926,0.24741991494904148,-0.8963464220319765,0.37006777296380644,2950
43,composite_index,digital_labor,2,trim_tail,1,unweighted,-0.605129555393251,0.18277305659575543,-3.3108247280212306,0.0009302145296514741,2950
44,composite_index,digital_labor,2,trim_tail,1,population_weighted,-0.6004078251953127,0.24907546407855036,-2.4105458456797795,0.0159286692572298,2950
45,composite_index,digital_labor,2,exclude_2020,0,unweighted,-0.0851930089865201,0.12971851695947756,-0.6567528752516754,0.5113398297327902,2950
46,composite_index,digital_labor,2,exclude_2020,0,population_weighted,0.15498216650359173,0.23451679375325674,0.6608574338034565,0.5087037461292279,2950
47,composite_index,digital_labor,2,exclude_2020,1,unweighted,-0.4299680128984211,0.1841913749792272,-2.334354759808445,0.01957715358684009,2950
48,composite_index,digital_labor,2,exclude_2020,1,population_weighted,-0.31033456947511606,0.26002516976887385,-1.1934789610981131,0.23268184699301586,2950
49,composite_index,macro,4,full_window,0,unweighted,0.6552038141235454,0.065703967125714,9.97205865621353,0.0,3245
50,composite_index,macro,4,full_window,0,population_weighted,1.9049748986375563,0.16054223696034192,11.865879875014663,0.0,3245
51,composite_index,macro,4,full_window,1,unweighted,-0.28915299047710596,0.09253448301326878,-3.1248133783342533,0.0017791789648635703,3245
52,composite_index,macro,4,full_window,1,population_weighted,0.20136504828056223,0.21970679672159207,0.9165171550688432,0.3593957138977881,3245
53,composite_index,macro,4,late_start,0,unweighted,0.6042868084414774,0.07746914679214138,7.800354508393494,6.217248937900877e-15,2655
54,composite_index,macro,4,late_start,0,population_weighted,2.268993971064472,0.17678650368294138,12.834656061380173,0.0,2655
55,composite_index,macro,4,late_start,1,unweighted,-0.11823744659476465,0.09765974135748631,-1.210708168496505,0.22600727066702841,2655
56,composite_index,macro,4,late_start,1,population_weighted,0.8046432448603089,0.1883780568951189,4.271427671155462,1.9422552339998234e-05,2655
57,composite_index,macro,4,trim_tail,0,unweighted,0.6475456827818332,0.07009625056884827,9.237950354360484,0.0,2950
58,composite_index,macro,4,trim_tail,0,population_weighted,1.9546139283895907,0.14910753874554442,13.10875321820707,0.0,2950
59,composite_index,macro,4,trim_tail,1,unweighted,-0.28867412641905,0.09375492085746771,-3.079029066196014,0.0020767641888799204,2950
60,composite_index,macro,4,trim_tail,1,population_weighted,0.4153994566346708,0.20803740713912888,1.9967536720781407,0.045851948491985484,2950
61,composite_index,macro,4,exclude_2020,0,unweighted,0.7128881859199667,0.06907187480700068,10.320961866344375,0.0,2950
62,composite_index,macro,4,exclude_2020,0,population_weighted,2.0089703049322822,0.1739992218441283,11.54585798511188,0.0,2950
63,composite_index,macro,4,exclude_2020,1,unweighted,-0.32994800198321705,0.10272643558105492,-3.2119093796735116,0.0013185595995566235,2950
64,composite_index,macro,4,exclude_2020,1,population_weighted,-0.008207699908227006,0.2356014754932447,-0.03483721776802855,0.9722095431453215,2950
65,composite_index,full,7,full_window,0,unweighted,-0.029739051274625006,0.05344984247797402,-0.5563917477751236,0.5779430790108386,3245
66,composite_index,full,7,full_window,0,population_weighted,-0.04459257998989463,0.13577075778268474,-0.3284402379286246,0.7425788233389108,3245
67,composite_index,full,7,full_window,1,unweighted,-0.34799910384340177,0.07442830148401541,-4.675628717902957,2.9305439301907654e-06,3245
68,composite_index,full,7,full_window,1,population_weighted,-0.35763284326178085,0.17081423712347993,-2.093694584739161,0.0362871956444506,3245
69,composite_index,full,7,late_start,0,unweighted,-0.005867113956086911,0.06353673839194147,-0.0923420701877113,0.9264262639629779,2655
70,composite_index,full,7,late_start,0,population_weighted,0.21504387332075248,0.13509871443714158,1.591753661140925,0.11144006585199762,2655
71,composite_index,full,7,late_start,1,unweighted,-0.17381350540458831,0.07777300917805703,-2.2348820913776377,0.02542509057279352,2655
72,composite_index,full,7,late_start,1,population_weighted,0.11735826254445397,0.14828479326431152,0.7914382854839856,0.4286882760470587,2655
73,composite_index,full,7,trim_tail,0,unweighted,-0.031028132038492973,0.05689685296469321,-0.5453400394174205,0.5855196710891484,2950
74,composite_index,full,7,trim_tail,0,population_weighted,0.022324473687652002,0.1408229134052971,0.15852870209694342,0.8740402056167274,2950
75,composite_index,full,7,trim_tail,1,unweighted,-0.3643846684918311,0.07663901458967311,-4.7545583726872565,1.988806748620675e-06,2950
76,composite_index,full,7,trim_tail,1,population_weighted,-0.2961099968136647,0.1770918184274772,-1.6720704516054643,0.09451043048097629,2950
77,composite_index,full,7,exclude_2020,0,unweighted,-0.012150694123945205,0.05591463511997993,-0.21730793910883284,0.8279683704111116,2950
78,composite_index,full,7,exclude_2020,0,population_weighted,-0.03409549449374194,0.13119794945152677,-0.25987825752062593,0.7949576831817389,2950
79,composite_index,full,7,exclude_2020,1,unweighted,-0.36177749958528166,0.08105947313223986,-4.463111905441087,8.077783826720975e-06,2950
80,composite_index,full,7,exclude_2020,1,population_weighted,-0.5207750265587329,0.17484332552575102,-2.9785239155842573,0.0028964042522396927,2950
81,economic_vitality,none,0,full_window,0,unweighted,0.7916185551303122,0.1739784566016304,4.550095285319905,5.362162818656202e-06,3245
82,economic_vitality,none,0,full_window,0,population_weighted,2.5645625131560985,0.3004540980061136,8.535621681232369,0.0,3245
83,economic_vitality,none,0,full_window,1,unweighted,-0.47300384097368126,0.26104707174318814,-1.8119484651373952,0.06999415979093082,3245
84,economic_vitality,none,0,full_window,1,population_weighted,0.4033497906102928,0.3164520593003706,1.274599986810136,0.2024508621677623,3245
