state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
surge_expansion|persistent_accelerator|r_high|a_high,surge expansion,persistent accelerator,high,high,94,-87.08398573520003,innovation_pulse
deep_cooling|structural_decline|r_high|a_low,deep cooling,structural decline,high,low,3,-87.16671912561605,resilience_upgrade
steady_cruise|late_takeoff|r_high|a_high,steady cruise,late takeoff,high,high,3,-87.25387431421923,innovation_pulse
deep_cooling|late_takeoff|r_high|a_mid,deep cooling,late takeoff,high,mid,1,-87.25484091719838,resilience_upgrade
mixed_transition|structural_decline|r_mid|a_mid,mixed transition,structural decline,mid,mid,33,-87.3300789798507,resilience_upgrade
deep_cooling|persistent_accelerator|r_mid|a_low,deep cooling,persistent accelerator,mid,low,30,-87.3873309641718,resilience_upgrade
mixed_transition|stable_mature|r_mid|a_high,mixed transition,stable mature,mid,high,22,-87.40929621836122,innovation_pulse
mixed_transition|late_takeoff|r_mid|a_high,mixed transition,late takeoff,mid,high,44,-87.53220767229126,innovation_pulse
deep_cooling|volatile_rebound|r_low|a_low,deep cooling,volatile rebound,low,low,67,-87.5339232841023,resilience_upgrade
steady_cruise|late_takeoff|r_mid|a_mid,steady cruise,late takeoff,mid,mid,38,-87.55393068878614,innovation_pulse
mixed_transition|persistent_accelerator|r_mid|a_high,mixed transition,persistent accelerator,mid,high,10,-87.56763841396992,innovation_pulse
surge_expansion|late_takeoff|r_mid|a_high,surge expansion,late takeoff,mid,high,13,-87.65103354127447,innovation_pulse
deep_cooling|late_takeoff|r_high|a_high,deep cooling,late takeoff,high,high,1,-87.65784012836745,resilience_upgrade
recovery_rebound|persistent_accelerator|r_low|a_high,recovery rebound,persistent accelerator,low,high,1,-87.97264329457602,innovation_pulse
mixed_transition|structural_decline|r_high|a_mid,mixed transition,structural decline,high,mid,24,-88.05709684504363,resilience_upgrade
deep_cooling|persistent_accelerator|r_low|a_high,deep cooling,persistent accelerator,low,high,3,-88.11950538953579,innovation_pulse
mixed_transition|volatile_rebound|r_low|a_mid,mixed transition,volatile rebound,low,mid,17,-88.18037588045439,wait_observe
deep_cooling|volatile_rebound|r_low|a_mid,deep cooling,volatile rebound,low,mid,9,-88.20700750017924,resilience_upgrade
mixed_transition|volatile_rebound|r_mid|a_mid,mixed transition,volatile rebound,mid,mid,38,-88.48329100218268,innovation_pulse
deep_cooling|stable_mature|r_low|a_mid,deep cooling,stable mature,low,mid,15,-88.7711650667305,resilience_upgrade
deep_cooling|late_takeoff|r_mid|a_mid,deep cooling,late takeoff,mid,mid,20,-88.79721615270473,resilience_upgrade
recovery_rebound|late_takeoff|r_high|a_mid,recovery rebound,late takeoff,high,mid,1,-88.8039613737345,resilience_upgrade
surge_expansion|late_takeoff|r_high|a_high,surge expansion,late takeoff,high,high,111,-89.00373365700428,resilience_upgrade
deep_cooling|persistent_accelerator|r_mid|a_mid,deep cooling,persistent accelerator,mid,mid,10,-89.1419311657642,resilience_upgrade
deep_cooling|late_takeoff|r_high|a_low,deep cooling,late takeoff,high,low,5,-89.35937483708733,resilience_upgrade
surge_expansion|volatile_rebound|r_high|a_mid,surge expansion,volatile rebound,high,mid,5,-89.65469745168068,resilience_upgrade
steady_cruise|late_takeoff|r_mid|a_high,steady cruise,late takeoff,mid,high,9,-89.6614910751561,innovation_pulse
overheating|stable_mature|r_mid|a_mid,overheating,stable mature,mid,mid,1,-89.86166236757757,anti_overheating
surge_expansion|structural_decline|r_mid|a_mid,surge expansion,structural decline,mid,mid,7,-89.88563709866743,resilience_upgrade
deep_cooling|late_takeoff|r_mid|a_high,deep cooling,late takeoff,mid,high,4,-89.9779885199352,resilience_upgrade
deep_cooling|structural_decline|r_high|a_mid,deep cooling,structural decline,high,mid,1,-90.04176202472206,resilience_upgrade
deep_cooling|persistent_accelerator|r_low|a_low,deep cooling,persistent accelerator,low,low,47,-90.10724531853894,resilience_upgrade
mixed_transition|structural_decline|r_mid|a_high,mixed transition,structural decline,mid,high,2,-90.52667854582091,resilience_upgrade
