alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_objective,mean_continent_gain,std_continent_gain,worst_continent_gain,share_positive_continent_gain,robust_score
0.15000000000000002,0.0,0.2,0.6499999999999999,0.6883924726778603,0.036923697301173765,0.02850844297196897,0.016063940663363696,1.0,0.03552798449348876
0.15000000000000002,0.05,0.0,0.7999999999999999,0.6608192456511797,0.010455044683003326,0.018891489340878975,-0.007949300960676142,0.6666666666666666,0.0037127129527986147
0.15000000000000002,0.05,0.05,0.7499999999999999,0.6681449974606678,0.016551003944185738,0.02151115347908148,-0.002206949412657644,0.6666666666666666,0.013765260202727538
0.15000000000000002,0.05,0.1,0.7,0.6747311834590495,0.02296695198133288,0.02407598699220535,0.003517668428136278,1.0,0.021652609867652755
0.15000000000000002,0.05,0.15000000000000002,0.6499999999999999,0.682246881202795,0.0305737771653332,0.02702451367005635,0.009224552561705623,1.0,0.029173866872299906
0.15000000000000002,0.05,0.2,0.5999999999999999,0.6890230131354342,0.0374809281870306,0.029283657906577252,0.016059156782855855,1.0,0.03603580899372842
0.15000000000000002,0.1,0.0,0.75,0.6614509296325184,0.011875852484177033,0.01883571946686747,-0.00534153980298302,0.6666666666666666,0.006976048833905202
0.15000000000000002,0.1,0.05,0.7,0.6683312071221413,0.01650603302415743,0.022088012924660293,-0.0021834188670818433,0.6666666666666666,0.013694336102185454
0.15000000000000002,0.1,0.1,0.65,0.6758071808458344,0.025712352090438317,0.024924562447280942,0.007474350872844537,1.0,0.024351643888087842
0.15000000000000002,0.1,0.15000000000000002,0.6,0.683044312025362,0.03132877244721514,0.02876532994319812,0.009247580539377798,1.0,0.029805545468781842
0.15000000000000002,0.1,0.2,0.55,0.6897087851494301,0.03871117852013972,0.029577669464274026,0.01752045900993615,1.0,0.03725625384250172
0.15000000000000002,0.15000000000000002,0.0,0.7,0.6619153014960831,0.012365346296874172,0.02014156733974329,-0.005318008568616306,0.6666666666666666,0.007386834118100271
0.15000000000000002,0.15000000000000002,0.05,0.6499999999999999,0.6688508279327822,0.017589101337796415,0.022368367158685107,0.00042384041149834406,1.0,0.016293761700272563
0.15000000000000002,0.15000000000000002,0.1,0.6,0.6764376865221003,0.02600304235627604,0.025323045348673433,0.007469374895802794,1.0,0.024623065635339485
0.15000000000000002,0.15000000000000002,0.15000000000000002,0.5499999999999999,0.684119518078547,0.03215299282255494,0.029916771539497695,0.009270357921888794,1.0,0.030559154637481375
