year,feature,importance_perm_auc,importance_tree_gain,n_train,n_test,auc,brier
2017,regime_forward_risk,-0.014043419267299805,0.015003121369945983,206,89,0.6187245590230666,0.1996352276991809
2017,regime_transition_entropy,-0.005970149253731305,0.01922975993214521,206,89,0.6187245590230666,0.1996352276991809
2017,stall_probability_base_pre_fusion,-0.006580732700135617,0.10144392208622738,206,89,0.6187245590230666,0.1996352276991809
2018,acceleration_score,0.0020908004778973145,0.07633029644109339,206,89,0.6278375149342892,0.22343454844969102
2018,growth_1,0.0029271206690562714,0.07842497595730151,206,89,0.6278375149342892,0.22343454844969102
2018,accel_1,0.00872162485065715,0.07082087421803211,206,89,0.6278375149342892,0.22343454844969102
2018,critical_transition_score,-0.010215053763440762,0.08045695117867975,206,89,0.6278375149342892,0.22343454844969102
2018,dynamic_hazard_score,0.002568697729988134,0.17756664394345917,206,89,0.6278375149342892,0.22343454844969102
2018,graph_diffusion_score,0.08130227001194748,0.16620301398759735,206,89,0.6278375149342892,0.22343454844969102
2018,dynamic_pulse_index,0.0038231780167264696,0.09040799280302625,206,89,0.6278375149342892,0.22343454844969102
2018,regime_switch_rate_3y,-0.006272401433691699,0.028819012480526204,206,89,0.6278375149342892,0.22343454844969102
2018,regime_forward_risk,-0.004301075268817145,0.02857322791699893,206,89,0.6278375149342892,0.22343454844969102
2018,regime_transition_entropy,-0.006989247311827884,0.06564642523929706,206,89,0.6278375149342892,0.22343454844969102
2018,stall_probability_base_pre_fusion,0.048028673835125525,0.13675058583398841,206,89,0.6278375149342892,0.22343454844969102
2019,acceleration_score,-0.007540106951871595,0.10607542170300917,206,89,0.6604278074866311,0.20694863472216676
2019,growth_1,-0.01684491978609619,0.11387929462718754,206,89,0.6604278074866311,0.20694863472216676
2019,accel_1,0.01786096256684504,0.0959128369619069,206,89,0.6604278074866311,0.20694863472216676
2019,critical_transition_score,0.0006951871657754904,0.10202850202701191,206,89,0.6604278074866311,0.20694863472216676
2019,dynamic_hazard_score,-0.03395721925133684,0.11582669415336379,206,89,0.6604278074866311,0.20694863472216676
2019,graph_diffusion_score,0.030641711229946612,0.12249976172351688,206,89,0.6604278074866311,0.20694863472216676
2019,dynamic_pulse_index,-0.011443850267379563,0.12034855250343283,206,89,0.6604278074866311,0.20694863472216676
2019,regime_switch_rate_3y,0.004385026737968001,0.024838385364991736,206,89,0.6604278074866311,0.20694863472216676
2019,regime_forward_risk,-0.009251336898395635,0.02101587613484184,206,89,0.6604278074866311,0.20694863472216676
2019,regime_transition_entropy,0.003208556149732744,0.022831368242519377,206,89,0.6604278074866311,0.20694863472216676
