city_id,continent,state,start_year,end_year,duration,exit_observed
dunedin_nz,Oceania,stall_trap,2015,2015,1,1
dusseldorf_de,Europe,stall_trap,2015,2015,1,1
dusseldorf_de,Europe,stall_trap,2019,2019,1,1
frankfurt_de,Europe,stall_trap,2015,2015,1,1
freetown_sl,Africa,stall_trap,2015,2015,1,1
fukuoka_jp,Asia,stall_trap,2015,2015,1,1
fukuoka_jp,Asia,stall_trap,2018,2018,1,1
fukuoka_jp,Asia,stall_trap,2023,2023,1,1
gaborone_bw,Africa,stall_trap,2015,2015,1,1
geelong_au,Oceania,stall_trap,2015,2015,1,1
geneva_ch,Europe,stall_trap,2015,2015,1,1
geneva_ch,Europe,stall_trap,2021,2021,1,1
geneva_ch,Europe,stall_trap,2023,2023,1,1
genoa_it,Europe,stall_trap,2015,2015,1,1
genoa_it,Europe,stall_trap,2023,2023,1,1
guangzhou_cn,Asia,stall_trap,2021,2021,1,1
harare_zw,Africa,stall_trap,2015,2015,1,1
harare_zw,Africa,stall_trap,2025,2025,1,0
ho_chi_minh_city_vn,Asia,stall_trap,2015,2015,1,1
hobart_au,Oceania,stall_trap,2015,2015,1,1
hong_kong_hk,Asia,stall_trap,2015,2015,1,1
hong_kong_hk,Asia,stall_trap,2021,2021,1,1
incheon_kr,Asia,stall_trap,2015,2015,1,1
irkutsk_ru,Asia,stall_trap,2015,2015,1,1
istanbul_tr,Europe,stall_trap,2015,2015,1,1
istanbul_tr,Europe,stall_trap,2019,2019,1,1
jeddah_sa,Asia,stall_trap,2025,2025,1,0
kampala_ug,Africa,stall_trap,2015,2015,1,1
kampala_ug,Africa,stall_trap,2025,2025,1,0
kaohsiung_tw,Asia,stall_trap,2015,2015,1,1
karachi_pk,Asia,stall_trap,2021,2021,1,1
khabarovsk_ru,Asia,stall_trap,2015,2015,1,1
kigali_rw,Africa,stall_trap,2024,2024,1,1
kinshasa_cd,Africa,stall_trap,2015,2015,1,1
kinshasa_cd,Africa,stall_trap,2022,2022,1,1
kisumu_ke,Africa,stall_trap,2015,2015,1,1
kisumu_ke,Africa,stall_trap,2021,2021,1,1
kolkata_in,Asia,stall_trap,2019,2019,1,1
krasnoyarsk_ru,Asia,stall_trap,2015,2015,1,1
kuala_lumpur_my,Asia,stall_trap,2024,2024,1,1
la_paz_bo,South America,stall_trap,2018,2018,1,1
la_paz_bo,South America,stall_trap,2025,2025,1,0
lae_pg,Oceania,stall_trap,2022,2022,1,1
lilongwe_mw,Africa,stall_trap,2015,2015,1,1
lima_pe,South America,stall_trap,2018,2018,1,1
lisbon_pt,Europe,stall_trap,2015,2015,1,1
lisbon_pt,Europe,stall_trap,2024,2024,1,1
los_angeles_us,North America,stall_trap,2021,2021,1,1
los_angeles_us,North America,stall_trap,2025,2025,1,0
luanda_ao,Africa,stall_trap,2018,2018,1,1
lyon_fr,Europe,stall_trap,2015,2015,1,1
lyon_fr,Europe,stall_trap,2023,2023,1,1
madrid_es,Europe,stall_trap,2015,2015,1,1
malaga_es,Europe,stall_trap,2015,2015,1,1
managua_ni,North America,stall_trap,2015,2015,1,1
marseille_fr,Europe,stall_trap,2015,2015,1,1
mashhad_ir,Asia,stall_trap,2022,2022,1,1
medellin_co,South America,stall_trap,2015,2015,1,1
medellin_co,South America,stall_trap,2020,2020,1,1
milan_it,Europe,stall_trap,2023,2023,1,1
mogadishu_so,Africa,stall_trap,2015,2015,1,1
mombasa_ke,Africa,stall_trap,2015,2015,1,1
montevideo_uy,South America,stall_trap,2018,2018,1,1
mumbai_in,Asia,stall_trap,2015,2015,1,1
nairobi_ke,Africa,stall_trap,2015,2015,1,1
naples_it,Europe,stall_trap,2015,2015,1,1
naples_it,Europe,stall_trap,2025,2025,1,0
newcastle_au,Oceania,stall_trap,2022,2022,1,1
nice_fr,Europe,stall_trap,2015,2015,1,1
osaka_jp,Asia,stall_trap,2015,2015,1,1
ouagadougou_bf,Africa,stall_trap,2015,2015,1,1
panama_city_pa,North America,stall_trap,2015,2015,1,1
paramaribo_sr,South America,stall_trap,2018,2018,1,1
perth_au,Oceania,stall_trap,2015,2015,1,1
philadelphia_us,North America,stall_trap,2015,2015,1,1
philadelphia_us,North America,stall_trap,2020,2020,1,1
phnom_penh_kh,Asia,stall_trap,2015,2015,1,1
port_au_prince_ht,North America,stall_trap,2015,2015,1,1
port_harcourt_ng,Africa,stall_trap,2023,2023,1,1
