continent,shock_year,event_time,high_mean_rel_outcome,low_mean_rel_outcome,effect_high_minus_low,n_high,n_low
South America,2020,1,0.07560373859500956,0.5267296000018531,-0.4511258614068435,25,4
South America,2020,2,-0.07388022297498921,0.5142197110645839,-0.5880999340395731,25,4
Africa,2022,-2,-0.027839530820678405,-0.7766119465069318,0.7487724156862534,23,6
Africa,2022,-1,0.0,0.0,0.0,23,6
Africa,2022,0,0.10991365252382054,-0.33933810828399125,0.4492517608078118,23,6
Africa,2022,1,-0.4913985030856238,-1.0037819081245296,0.5123834050389058,23,6
Africa,2022,2,-0.2869628390221829,-0.9096788199296437,0.6227159809074608,23,6
Asia,2022,-2,0.051259515130102073,-0.03173399976999244,0.08299351490009452,28,36
Asia,2022,-1,0.0,0.0,0.0,28,36
Asia,2022,0,0.11470646808398703,-0.106039132098878,0.22074560018286504,28,36
Asia,2022,1,0.2259265888778216,0.11128946861030621,0.1146371202675154,28,36
Asia,2022,2,-0.18589839813313333,-0.0018557365876536263,-0.1840426615454797,28,36
Europe,2022,-2,0.4711988734267507,0.2523014073309426,0.21889746609580812,3,46
Europe,2022,-1,0.0,0.0,0.0,3,46
Europe,2022,0,0.3162886706890144,0.5366677026229614,-0.22037903193394698,3,46
Europe,2022,1,-0.6416966254267974,0.1860583668087376,-0.827754992235535,3,46
Europe,2022,2,0.31657572521880795,0.23114741792146323,0.08542830729734471,3,46
North America,2022,-2,-0.4136280685693613,-0.24800684327469588,-0.16562122529466541,10,21
North America,2022,-1,0.0,0.0,0.0,10,21
North America,2022,0,-0.6458567116913297,-0.15577953293226005,-0.4900771787590697,10,21
North America,2022,1,-0.4370359230888717,-0.3002919765982272,-0.13674394649064447,10,21
North America,2022,2,-0.49369600492000243,-0.08540616633713191,-0.4082898385828705,10,21
Oceania,2022,-2,,-0.15623985852759503,,0,16
Oceania,2022,-1,,0.0,,0,16
Oceania,2022,0,,-0.6638212824415386,,0,16
Oceania,2022,1,,0.28623650885955354,,0,16
Oceania,2022,2,,0.49658425624897484,,0,16
South America,2022,-2,-0.08484852598788478,-0.07883697430990377,-0.0060115516779810085,25,4
South America,2022,-1,0.0,0.0,0.0,25,4
South America,2022,0,-0.14948396156999877,-0.012509888937269231,-0.13697407263272954,25,4
South America,2022,1,-0.07129232758279898,-0.5942881924278405,0.5229958648450415,25,4
South America,2022,2,-0.07311632529421175,0.17528080228820198,-0.24839712758241372,25,4
Africa,2023,-2,-0.10991365252382054,0.33933810828399125,-0.4492517608078118,23,6
Africa,2023,-1,0.0,0.0,0.0,23,6
Africa,2023,0,-0.6013121556094443,-0.6644437998405385,0.06313164423109419,23,6
Africa,2023,1,-0.3968764915460034,-0.5703407116456525,0.17346422009964907,23,6
Africa,2023,2,-0.2217115963214363,-0.7992759832910105,0.5775643869695741,23,6
Asia,2023,-2,-0.11470646808398703,0.106039132098878,-0.22074560018286504,28,36
Asia,2023,-1,0.0,0.0,0.0,28,36
Asia,2023,0,0.11122012079383456,0.21732860070918422,-0.10610847991534966,28,36
Asia,2023,1,-0.3006048662171204,0.10418339551122438,-0.4047882617283448,28,36
Asia,2023,2,0.07524775911875141,0.641524184256191,-0.5662764251374396,28,36
Europe,2023,-2,-0.3162886706890144,-0.5366677026229614,0.22037903193394698,3,46
Europe,2023,-1,0.0,0.0,0.0,3,46
Europe,2023,0,-0.9579852961158117,-0.3506093358142238,-0.6073759603015879,3,46
Europe,2023,1,0.00028705452979356966,-0.3055202847014982,0.3058073392312918,3,46
Europe,2023,2,0.44259037144951446,-0.021802603800537668,0.46439297525005213,3,46
North America,2023,-2,0.6458567116913297,0.15577953293226005,0.4900771787590697,10,21
North America,2023,-1,0.0,0.0,0.0,10,21
North America,2023,0,0.20882078860245806,-0.14451244366596716,0.3533332322684252,10,21
North America,2023,1,0.15216070677132726,0.07037336659512812,0.08178734017619914,10,21
North America,2023,2,0.06254527854822314,0.26534741727869005,-0.2028021387304669,10,21
Oceania,2023,-2,,0.6638212824415386,,0,16
Oceania,2023,-1,,0.0,,0,16
Oceania,2023,0,,0.9500577913010921,,0,16
Oceania,2023,1,,1.1604055386905134,,0,16
Oceania,2023,2,,1.0269321891471332,,0,16
South America,2023,-2,0.14948396156999877,0.012509888937269231,0.13697407263272954,25,4
South America,2023,-1,0.0,0.0,0.0,25,4
South America,2023,0,0.07819163398719979,-0.5817783034905712,0.659969937477771,25,4
South America,2023,1,0.07636763627578702,0.1877906912254712,-0.11142305494968419,25,4
South America,2023,2,0.19981397205014673,-0.09445628904750514,0.29427026109765186,25,4
