country,continent,city_count,mean_composite,mean_accel,mean_risk,mean_uncertainty,mean_source_quality,mean_sentinel_score,mean_changepoint_prob,critical_city_count,warning_city_count,data_watch_city_count,opportunity_city_count,sentinel_break_city_count,critical_share,warning_share,sentinel_break_share,nowcast_stall_pressure,nowcast_pulse_balance,country_alert_level,top_alert_city,top_city_risk,top_city_accel,top_city_alert_level,country_rank
Estonia,Europe,1,30.010065065871494,52.122065311467246,38.15144485971489,10.565063870391949,100.0,21.214146300900396,0.303171871729389,0,0,0,0,0,0.0,0.0,0.0,-13.970620451752353,13.970620451752353,watch,Tallinn,38.15144485971489,52.122065311467246,stable_watch,28
Peru,South America,4,34.071780974085456,60.130085201920764,46.02139158954789,17.604970135934423,100.0,29.777652250020434,0.4220874907182759,0,0,0,0,0,0.0,0.0,0.0,-14.108693612372875,14.108693612372875,watch,Lima,54.688855911605984,64.24676546838995,stable_watch,29
Venezuela,South America,3,27.552932420990114,50.764380193499626,35.438653310280934,16.397808598279997,100.0,20.391401034830697,0.25937643485001294,0,0,0,0,0,0.0,0.0,0.0,-15.325726883218692,15.325726883218692,watch,Caracas,46.51292034037603,37.73652310181346,stable_watch,30
New Zealand,Oceania,5,29.89882431812749,62.83367617939532,47.27498039711516,17.221760052602388,100.0,34.51585331328139,0.5333363169325915,0,0,0,0,0,0.0,0.0,0.0,-15.55869578228016,15.55869578228016,watch,Auckland,31.49072663703699,16.58646930128525,stable_watch,31
Greece,Europe,2,34.89552321722223,60.32890731047233,44.60593054541517,26.978130310184792,100.0,23.488635465567477,0.21251816146142943,0,0,0,0,0,0.0,0.0,0.0,-15.722976765057162,15.722976765057162,watch,Thessaloniki,46.16122012546247,52.30343396796974,stable_watch,32
Kuwait,Asia,1,33.81060664999867,54.220658786654596,38.3578434349259,17.98839543405069,100.0,21.288114481171153,0.2335973765236471,0,0,0,0,0,0.0,0.0,0.0,-15.862815351728699,15.862815351728699,watch,Kuwait City,38.3578434349259,54.220658786654596,stable_watch,33
Tunisia,Africa,1,32.7081575156712,56.48693074057987,40.137901577281305,22.551450566287507,100.0,22.27002175220232,0.2853623736492974,0,0,0,0,0,0.0,0.0,0.0,-16.349029163298567,16.349029163298567,watch,Tunis,40.137901577281305,56.48693074057987,stable_watch,34
Bosnia and Herzegovina,Europe,1,26.891356184995576,55.58936231411226,38.92580006191997,15.792499591698615,100.0,20.789755556689588,0.1617549679493665,0,0,0,0,0,0.0,0.0,0.0,-16.663562252192285,16.663562252192285,watch,Sarajevo,38.92580006191997,55.58936231411226,stable_watch,35
Poland,Europe,2,33.00207941042061,48.40151734872864,31.52725122113091,19.180719728378183,100.0,20.915544656340707,0.24400404938697395,0,0,0,0,0,0.0,0.0,0.0,-16.87426612759773,16.87426612759773,watch,Warsaw,35.046236842864694,47.20129606718333,stable_watch,36
Suriname,South America,1,21.187246225206625,54.829414221726324,37.84106093606593,15.371938938892379,100.0,18.86917725163486,0.1313585677044976,0,0,0,0,0,0.0,0.0,0.0,-16.988353285660395,16.988353285660395,watch,Paramaribo,37.84106093606593,54.829414221726324,stable_watch,37
Israel,Asia,2,33.57276752569396,66.90026043791744,49.82314504671286,15.937188735407334,100.0,24.56636551804472,0.2239275141555112,0,0,0,0,0,0.0,0.0,0.0,-17.07711539120458,17.07711539120458,watch,Jerusalem,50.59894098921627,61.84114602178231,stable_watch,38
Ghana,Africa,2,27.636911622447066,62.613425307411426,45.382327167158664,26.24936459160935,100.0,24.603714644101956,0.32145164741780696,0,0,0,0,0,0.0,0.0,0.0,-17.23109814025276,17.23109814025276,watch,Kumasi,52.15917487639894,66.00645972210783,stable_watch,39
Iraq,Asia,1,33.871288236615975,57.704859832307264,40.020562588177036,21.69151161590678,100.0,26.891390168320807,0.5083650509642332,0,0,0,0,0,0.0,0.0,0.0,-17.684297244130228,17.684297244130228,watch,Baghdad,40.020562588177036,57.704859832307264,stable_watch,40
United States,North America,19,36.27396091882516,58.585640450956326,40.687206809762465,20.30881036921787,100.0,25.21844164234435,0.33826777916626877,0,1,0,0,1,0.0,0.05263157894736842,0.05263157894736842,-17.89843364119386,17.89843364119386,watch,Phoenix,70.71745304290387,100.0,stall_warning,41
Portugal,Europe,2,33.65707403621588,48.365983877024405,30.436660680996077,14.272948762465372,100.0,18.942844447206877,0.22693957322444286,0,0,0,0,0,0.0,0.0,0.0,-17.929323196028328,17.929323196028328,watch,Porto,25.927914718156575,33.94089011289208,stable_watch,42
Cameroon,Africa,2,24.499363464643388,61.88851088851949,43.95333204823173,21.870447693410128,100.0,20.817680657886275,0.19803216579064148,0,0,0,0,0,0.0,0.0,0.0,-17.93517884028776,17.93517884028776,watch,Douala,47.33972933601284,59.44477225164084,stable_watch,43
Cote d'Ivoire,Africa,1,26.047684400119984,60.74568661617697,42.768478240220134,20.550085708940458,100.0,23.361956145524122,0.2893478564389881,0,0,0,0,0,0.0,0.0,0.0,-17.977208375956835,17.977208375956835,watch,Abidjan,42.768478240220134,60.74568661617697,stable_watch,44
