state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
deep_cooling|volatile_rebound|r_mid|a_mid,deep cooling,volatile rebound,mid,mid,10,-89.51216152502148,resilience_upgrade
surge_expansion|structural_decline|r_mid|a_mid,surge expansion,structural decline,mid,mid,10,-89.86782364408927,resilience_upgrade
overheating|late_takeoff|r_high|a_mid,overheating,late takeoff,high,mid,8,-89.92371808172867,anti_overheating
deep_cooling|stable_mature|r_mid|a_low,deep cooling,stable mature,mid,low,22,-89.98476235010936,resilience_upgrade
mixed_transition|late_takeoff|r_mid|a_low,mixed transition,late takeoff,mid,low,3,-90.11854927624256,resilience_upgrade
mixed_transition|structural_decline|r_high|a_high,mixed transition,structural decline,high,high,8,-90.44176836980832,resilience_upgrade
steady_cruise|volatile_rebound|r_mid|a_high,steady cruise,volatile rebound,mid,high,7,-90.49148990405877,innovation_pulse
deep_cooling|volatile_rebound|r_mid|a_low,deep cooling,volatile rebound,mid,low,19,-90.69426900200918,resilience_upgrade
overheating|structural_decline|r_high|a_high,overheating,structural decline,high,high,3,-90.7673445629681,anti_overheating
mixed_transition|stable_mature|r_high|a_high,mixed transition,stable mature,high,high,15,-90.79539742615276,resilience_upgrade
recovery_rebound|persistent_accelerator|r_mid|a_mid,recovery rebound,persistent accelerator,mid,mid,1,-90.94614121483838,innovation_pulse
mixed_transition|volatile_rebound|r_high|a_low,mixed transition,volatile rebound,high,low,1,-90.95986017603263,resilience_upgrade
deep_cooling|stable_mature|r_low|a_high,deep cooling,stable mature,low,high,4,-91.25506902861672,innovation_pulse
mixed_transition|structural_decline|r_mid|a_low,mixed transition,structural decline,mid,low,9,-91.48677429936014,resilience_upgrade
overheating|late_takeoff|r_high|a_high,overheating,late takeoff,high,high,4,-92.05630946188325,anti_overheating
mixed_transition|volatile_rebound|r_mid|a_low,mixed transition,volatile rebound,mid,low,3,-92.19586915540368,resilience_upgrade
steady_cruise|stable_mature|r_mid|a_high,steady cruise,stable mature,mid,high,3,-92.91605476112343,innovation_pulse
mixed_transition|volatile_rebound|r_high|a_high,mixed transition,volatile rebound,high,high,16,-92.98571645288963,resilience_upgrade
mixed_transition|volatile_rebound|r_mid|a_high,mixed transition,volatile rebound,mid,high,17,-93.11290029172248,innovation_pulse
overheating|stalling_plateau|r_low|a_high,overheating,stalling plateau,low,high,0,-93.12752300491844,resilience_upgrade
overheating|structural_decline|r_mid|a_high,overheating,structural decline,mid,high,0,-93.12752300491844,resilience_upgrade
steady_cruise|persistent_accelerator|r_high|a_high,steady cruise,persistent accelerator,high,high,0,-93.12752300491844,resilience_upgrade
steady_cruise|stalling_plateau|r_mid|a_high,steady cruise,stalling plateau,mid,high,0,-93.12752300491844,resilience_upgrade
deep_cooling|persistent_accelerator|r_low|a_mid,deep cooling,persistent accelerator,low,mid,10,-93.2259950925251,resilience_upgrade
mixed_transition|volatile_rebound|r_low|a_mid,mixed transition,volatile rebound,low,mid,16,-93.55309135297516,innovation_pulse
steady_cruise|stable_mature|r_mid|a_mid,steady cruise,stable mature,mid,mid,10,-93.82881305401382,innovation_pulse
steady_cruise|structural_decline|r_low|a_mid,steady cruise,structural decline,low,mid,3,-94.08999265215505,resilience_upgrade
deep_cooling|stable_mature|r_high|a_mid,deep cooling,stable mature,high,mid,1,-94.11606122728006,resilience_upgrade
mixed_transition|structural_decline|r_low|a_high,mixed transition,structural decline,low,high,4,-94.50364024551216,resilience_upgrade
deep_cooling|stable_mature|r_mid|a_high,deep cooling,stable mature,mid,high,1,-94.59241590172502,resilience_upgrade
recovery_rebound|stable_mature|r_low|a_high,recovery rebound,stable mature,low,high,4,-94.76549431225934,innovation_pulse
surge_expansion|structural_decline|r_mid|a_high,surge expansion,structural decline,mid,high,7,-94.77257978813756,resilience_upgrade
mixed_transition|stable_mature|r_mid|a_mid,mixed transition,stable mature,mid,mid,32,-95.08903433739174,innovation_pulse
mixed_transition|stable_mature|r_low|a_low,mixed transition,stable mature,low,low,54,-95.13967736941004,innovation_pulse
steady_cruise|structural_decline|r_high|a_mid,steady cruise,structural decline,high,mid,2,-95.15834411503852,resilience_upgrade
surge_expansion|volatile_rebound|r_high|a_high,surge expansion,volatile rebound,high,high,71,-95.27150821767394,resilience_upgrade
surge_expansion|late_takeoff|r_low|a_mid,surge expansion,late takeoff,low,mid,1,-95.74469523509514,innovation_pulse
surge_expansion|volatile_rebound|r_high|a_mid,surge expansion,volatile rebound,high,mid,2,-95.80694189957596,resilience_upgrade
steady_cruise|structural_decline|r_mid|a_mid,steady cruise,structural decline,mid,mid,23,-95.8510700221606,resilience_upgrade
steady_cruise|late_takeoff|r_high|a_high,steady cruise,late takeoff,high,high,3,-96.04536917543165,innovation_pulse
deep_cooling|persistent_accelerator|r_mid|a_low,deep cooling,persistent accelerator,mid,low,31,-96.10482280634062,resilience_upgrade
mixed_transition|structural_decline|r_high|a_mid,mixed transition,structural decline,high,mid,16,-96.15120352978172,resilience_upgrade
mixed_transition|stable_mature|r_low|a_high,mixed transition,stable mature,low,high,9,-96.58663390800386,innovation_pulse
mixed_transition|stalling_plateau|r_high|a_mid,mixed transition,stalling plateau,high,mid,1,-96.96739399796137,resilience_upgrade
mixed_transition|structural_decline|r_mid|a_high,mixed transition,structural decline,mid,high,4,-97.010987552494,resilience_upgrade
surge_expansion|persistent_accelerator|r_mid|a_high,surge expansion,persistent accelerator,mid,high,38,-97.10740003386296,innovation_pulse
mixed_transition|structural_decline|r_mid|a_mid,mixed transition,structural decline,mid,mid,40,-97.1747662174462,resilience_upgrade
deep_cooling|stable_mature|r_low|a_low,deep cooling,stable mature,low,low,86,-97.26101098030637,resilience_upgrade
surge_expansion|volatile_rebound|r_mid|a_mid,surge expansion,volatile rebound,mid,mid,6,-97.26393952622963,resilience_upgrade
deep_cooling|structural_decline|r_high|a_mid,deep cooling,structural decline,high,mid,1,-97.31428506821496,resilience_upgrade
mixed_transition|stable_mature|r_low|a_mid,mixed transition,stable mature,low,mid,26,-97.4096838442507,innovation_pulse
mixed_transition|structural_decline|r_low|a_mid,mixed transition,structural decline,low,mid,9,-97.47493748783246,resilience_upgrade
surge_expansion|stable_mature|r_mid|a_high,surge expansion,stable mature,mid,high,58,-97.659744560463,innovation_pulse
deep_cooling|persistent_accelerator|r_mid|a_mid,deep cooling,persistent accelerator,mid,mid,10,-97.82362103033071,resilience_upgrade
surge_expansion|stable_mature|r_high|a_high,surge expansion,stable mature,high,high,87,-98.06299104334435,resilience_upgrade
steady_cruise|late_takeoff|r_low|a_high,steady cruise,late takeoff,low,high,2,-98.1850933130628,innovation_pulse
recovery_rebound|persistent_accelerator|r_low|a_mid,recovery rebound,persistent accelerator,low,mid,2,-98.63215562218706,innovation_pulse
surge_expansion|persistent_accelerator|r_high|a_high,surge expansion,persistent accelerator,high,high,86,-98.78653649950124,resilience_upgrade
deep_cooling|late_takeoff|r_high|a_mid,deep cooling,late takeoff,high,mid,4,-99.11209651382536,resilience_upgrade
deep_cooling|persistent_accelerator|r_low|a_low,deep cooling,persistent accelerator,low,low,42,-99.42859114486176,resilience_upgrade
surge_expansion|stable_mature|r_low|a_high,surge expansion,stable mature,low,high,6,-99.4669090755438,innovation_pulse
deep_cooling|volatile_rebound|r_low|a_low,deep cooling,volatile rebound,low,low,63,-99.49517609657651,resilience_upgrade
deep_cooling|persistent_accelerator|r_high|a_low,deep cooling,persistent accelerator,high,low,5,-99.53134448310236,resilience_upgrade
mixed_transition|stable_mature|r_mid|a_high,mixed transition,stable mature,mid,high,19,-99.78464988276788,innovation_pulse
recovery_rebound|persistent_accelerator|r_low|a_high,recovery rebound,persistent accelerator,low,high,2,-99.79897961822904,innovation_pulse
recovery_rebound|stalling_plateau|r_low|a_low,recovery rebound,stalling plateau,low,low,2,-99.82362374448029,resilience_upgrade
deep_cooling|stable_mature|r_low|a_mid,deep cooling,stable mature,low,mid,19,-100.34176450348222,resilience_upgrade
mixed_transition|persistent_accelerator|r_mid|a_high,mixed transition,persistent accelerator,mid,high,10,-100.43382944303508,innovation_pulse
deep_cooling|late_takeoff|r_mid|a_mid,deep cooling,late takeoff,mid,mid,19,-100.62498334826138,resilience_upgrade
mixed_transition|late_takeoff|r_high|a_high,mixed transition,late takeoff,high,high,69,-100.7149400238606,innovation_pulse
deep_cooling|volatile_rebound|r_low|a_mid,deep cooling,volatile rebound,low,mid,10,-100.95916331617067,resilience_upgrade
steady_cruise|late_takeoff|r_mid|a_high,steady cruise,late takeoff,mid,high,8,-100.9774254852048,innovation_pulse
surge_expansion|late_takeoff|r_mid|a_high,surge expansion,late takeoff,mid,high,14,-101.56133319593766,innovation_pulse
deep_cooling|late_takeoff|r_high|a_low,deep cooling,late takeoff,high,low,7,-101.6213739297508,resilience_upgrade
mixed_transition|stable_mature|r_mid|a_low,mixed transition,stable mature,mid,low,6,-101.67701808462442,resilience_upgrade
deep_cooling|structural_decline|r_high|a_low,deep cooling,structural decline,high,low,2,-101.716663460272,resilience_upgrade
mixed_transition|stable_mature|r_high|a_low,mixed transition,stable mature,high,low,1,-101.72238748485316,resilience_upgrade
deep_cooling|late_takeoff|r_low|a_low,deep cooling,late takeoff,low,low,27,-101.8580365423392,resilience_upgrade
deep_cooling|late_takeoff|r_low|a_mid,deep cooling,late takeoff,low,mid,6,-102.01053466790825,resilience_upgrade
surge_expansion|late_takeoff|r_high|a_high,surge expansion,late takeoff,high,high,111,-102.02333660697448,resilience_upgrade
surge_expansion|structural_decline|r_high|a_mid,surge expansion,structural decline,high,mid,6,-102.2447237889499,resilience_upgrade
surge_expansion|stable_mature|r_mid|a_mid,surge expansion,stable mature,mid,mid,5,-102.25090783484735,resilience_upgrade
deep_cooling|late_takeoff|r_mid|a_high,deep cooling,late takeoff,mid,high,4,-102.30646415357576,resilience_upgrade
deep_cooling|late_takeoff|r_high|a_high,deep cooling,late takeoff,high,high,1,-102.41727263623812,resilience_upgrade
mixed_transition|persistent_accelerator|r_high|a_low,mixed transition,persistent accelerator,high,low,6,-102.8228008321052,resilience_upgrade
steady_cruise|late_takeoff|r_high|a_mid,steady cruise,late takeoff,high,mid,5,-103.0227455127436,resilience_upgrade
mixed_transition|persistent_accelerator|r_mid|a_mid,mixed transition,persistent accelerator,mid,mid,22,-103.23818257251196,innovation_pulse
deep_cooling|late_takeoff|r_mid|a_low,deep cooling,late takeoff,mid,low,32,-103.44122349730162,resilience_upgrade
