event_id,source_rank,source_url,source_domain,source_track,source_ref
pevt_001221,1,https://projects.worldbank.org/en/projects-operations/project-detail/P151030,projects.worldbank.org,external_direct,wb_project:P151030|P158111
pevt_001221,2,https://projects.worldbank.org/en/projects-operations/project-detail/P158111,projects.worldbank.org,external_direct,wb_project:P151030|P158111
pevt_001222,1,https://projects.worldbank.org/en/projects-operations/project-detail/P161483,projects.worldbank.org,external_direct,wb_project:P161483
pevt_001223,1,https://projects.worldbank.org/en/projects-operations/project-detail/P160245,projects.worldbank.org,external_direct,wb_project:P160245|P167043
pevt_001223,2,https://projects.worldbank.org/en/projects-operations/project-detail/P167043,projects.worldbank.org,external_direct,wb_project:P160245|P167043
pevt_001224,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168273,projects.worldbank.org,external_direct,wb_project:P168273
pevt_001225,1,https://projects.worldbank.org/en/projects-operations/project-detail/P173324,projects.worldbank.org,external_direct,wb_project:P173324|P173945
pevt_001225,2,https://projects.worldbank.org/en/projects-operations/project-detail/P173945,projects.worldbank.org,external_direct,wb_project:P173324|P173945
pevt_001226,1,https://projects.worldbank.org/en/projects-operations/project-detail/P176352,projects.worldbank.org,external_direct,wb_project:P176352
pevt_001227,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163624,projects.worldbank.org,external_direct,wb_project:P163624|P178540
pevt_001227,2,https://projects.worldbank.org/en/projects-operations/project-detail/P178540,projects.worldbank.org,external_direct,wb_project:P163624|P178540
pevt_001228,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177821,projects.worldbank.org,external_direct,wb_project:P177821|P179010
pevt_001228,2,https://projects.worldbank.org/en/projects-operations/project-detail/P179010,projects.worldbank.org,external_direct,wb_project:P177821|P179010
pevt_001229,1,https://projects.worldbank.org/en/projects-operations/project-detail/P162957,projects.worldbank.org,external_direct,wb_project:P162957
pevt_001230,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179240,projects.worldbank.org,external_direct,wb_project:P179240
pevt_001231,1,https://projects.worldbank.org/en/projects-operations/project-detail/P178380,projects.worldbank.org,external_direct,wb_project:P178380
pevt_001232,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174017,projects.worldbank.org,external_direct,wb_project:P174017|P175641|P175645
pevt_001232,2,https://projects.worldbank.org/en/projects-operations/project-detail/P175641,projects.worldbank.org,external_direct,wb_project:P174017|P175641|P175645
pevt_001232,3,https://projects.worldbank.org/en/projects-operations/project-detail/P175645,projects.worldbank.org,external_direct,wb_project:P174017|P175641|P175645
pevt_001233,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,external_direct,wb_project_regional:P145634|P152799|P157691
pevt_001233,2,https://projects.worldbank.org/en/projects-operations/project-detail/P152799,projects.worldbank.org,external_direct,wb_project_regional:P145634|P152799|P157691
pevt_001233,3,https://projects.worldbank.org/en/projects-operations/project-detail/P157691,projects.worldbank.org,external_direct,wb_project_regional:P145634|P152799|P157691
