sentinel_rank,city_id,city_name,country,continent,sentinel_type,sentinel_score,composite_shock_z,composite_changepoint_prob,signal_drift_1y,nowcast_stall_risk_score,nowcast_acceleration_score,nowcast_stall_pressure,alert_level,trajectory_regime,phase_label
80,munich_de,Munich,Germany,Europe,steady_transition,27.962662161450293,1.3877513488908886,0.48338316140212834,0.9774363329789395,38.07046350804141,83.049463876069,-44.979000368027584,acceleration_opportunity,stalling_plateau,rotational_transition
82,kisumu_ke,Kisumu,Kenya,Africa,steady_transition,27.864487949836438,-1.6131578587489361,0.3756552752120065,-1.56777451112265,33.37360532530378,27.24288789964955,6.130717425654229,stable_watch,late_takeoff,centrifugal_fragility
83,houston_us,Houston,United States,North America,steady_transition,27.853603183231453,1.3491926304315087,0.31532963535107505,0.8596590560658584,46.83832759476533,79.06165791262727,-32.22333031786194,stable_watch,late_takeoff,directional_drift
89,lahore_pk,Lahore,Pakistan,Asia,steady_transition,27.03716475171968,-0.8325341678856051,0.5558476154888192,-0.6037963224589298,33.83557646242923,50.649686787960256,-16.814110325531026,stable_watch,late_takeoff,stable_anchor
91,arequipa_pe,Arequipa,Peru,South America,steady_transition,26.876242749307593,-1.2854396638476986,0.3953065356704004,-1.5144446350553196,32.71606404196325,27.211582798140157,5.5044812438230935,stable_watch,late_takeoff,centrifugal_fragility
92,dublin_ie,Dublin,Ireland,Europe,steady_transition,26.842245342915422,1.6384098727253884,0.311216701585624,0.7184875942140003,43.47211275434916,71.54910885217085,-28.076996097821684,stable_watch,stable_mature,directional_drift
94,santiago_cl,Santiago,Chile,South America,steady_transition,26.77974378877896,-1.5230005285287873,0.39277007709109313,-0.8572497725034438,35.25072373686998,49.6917222415464,-14.440998504676422,stable_watch,late_takeoff,directional_drift
100,minsk_by,Minsk,Belarus,Europe,steady_transition,26.210221288832663,1.8267927851800936,0.3147421653266652,0.6505064710895283,39.38545654491889,76.26727031652322,-36.881813771604335,acceleration_opportunity,stable_mature,directional_drift
105,seattle_us,Seattle,United States,North America,steady_transition,25.438511285257217,-1.796870510944611,0.3883486657534224,-0.9466504932320134,28.72489324845026,43.41875399546774,-14.693860747017478,stable_watch,volatile_rebound,directional_drift
106,cologne_de,Cologne,Germany,Europe,steady_transition,25.41239809407511,1.2054939512783536,0.30670180737953623,0.8012944893743494,41.65309363317576,71.15711307200012,-29.504019438824358,stable_watch,stalling_plateau,directional_drift
110,manchester_gb,Manchester,United Kingdom,Europe,steady_transition,25.2422126360425,1.675092898709275,0.38841273825738065,0.7712013130231483,33.4310058638348,79.1521069602966,-45.72110109646181,acceleration_opportunity,stalling_plateau,centrifugal_fragility
128,berlin_de,Berlin,Germany,Europe,steady_transition,24.40062650740671,-1.4376433240915392,0.33803842907821113,-1.216406403605646,30.081566647531083,42.288963466580384,-12.2073968190493,stable_watch,volatile_rebound,centrifugal_fragility
138,melbourne_au,Melbourne,Australia,Oceania,steady_transition,23.9658042758064,0.5304379855872877,0.5363245549214717,0.29124741917733843,31.044998918504735,62.73429060097929,-31.689291682474558,stable_watch,stalling_plateau,directional_drift
157,geelong_au,Geelong,Australia,Oceania,steady_transition,22.997809104928063,-1.2188031736718679,0.28794566543506817,-1.1988214493369327,29.988935685267574,33.14321912103177,-3.154283435764196,stable_watch,volatile_rebound,centrifugal_fragility
160,detroit_us,Detroit,United States,North America,steady_transition,22.90550780226952,-1.4622633076385785,0.33529588650765596,-0.7452264639959907,28.19986602976557,51.51201730286419,-23.312151273098618,stable_watch,stable_mature,directional_drift
190,vilnius_lt,Vilnius,Lithuania,Europe,steady_transition,21.218521164125175,-1.7250821521118553,0.3330378375635775,-0.89901502495632,20.671256184484047,46.600370502522914,-25.929114318038867,stable_watch,stalling_plateau,directional_drift
202,zurich_ch,Zurich,Switzerland,Europe,steady_transition,20.762871978532793,-1.2365819682412313,0.29215300878467054,-1.1837361820352434,23.648281836596215,36.438127788290636,-12.78984595169442,stable_watch,stalling_plateau,directional_drift
206,johannesburg_za,Johannesburg,South Africa,Africa,steady_transition,20.65553728828286,-1.4320860924694492,0.3368110680494124,-1.6990195293011965,17.36277062092707,31.530285712540103,-14.167515091613033,stable_watch,stalling_plateau,rotational_transition
208,muscat_om,Muscat,Oman,Asia,steady_transition,20.551923013195204,1.4917233971211616,0.17992178959199134,0.38565405575618783,31.81257098891479,68.2589719865518,-36.446400997637014,stable_watch,stalling_plateau,centrifugal_fragility
