event_id,iso3,start_year,end_year,effective_date,policy_name,policy_intensity,source_ref,source_track,evidence_grade,project_id_count,project_ids,source_url_count,primary_source_url,source_domain,has_objective_source,is_external_direct,is_objective_indicator,is_objective_macro,is_ai_inferred,commitment_usd,project_count,assignment_type
pevt_000033,ARG,2021,2021,2021-01-01,climate_resilience,0.8384600471473961,wb_project:P114294|P175138,external_direct,A,2,P114294|P175138,2,https://projects.worldbank.org/en/projects-operations/project-detail/P114294,projects.worldbank.org,1,1,0,0,0,347000000.0,2.0,explicit
pevt_000034,ARG,2021,2021,2021-01-01,innovation_industry,0.718617021154572,wb_project:P176905,external_direct,A,1,P176905,1,https://projects.worldbank.org/en/projects-operations/project-detail/P176905,projects.worldbank.org,1,1,0,0,0,400000000.0,1.0,explicit
pevt_000035,ARG,2021,2021,2021-01-01,urban_services,0.8591846201801123,wb_project:P172689|P176034,external_direct,A,2,P172689|P176034,2,https://projects.worldbank.org/en/projects-operations/project-detail/P172689,projects.worldbank.org,1,1,0,0,0,614340000.0,2.0,explicit
pevt_000036,ARG,2022,2022,2022-01-01,innovation_industry,0.8478903083963962,wb_project:P175143|P176781,external_direct,A,2,P175143|P176781,2,https://projects.worldbank.org/en/projects-operations/project-detail/P175143,projects.worldbank.org,1,1,0,0,0,450000000.0,2.0,explicit
pevt_000037,ARG,2022,2022,2022-01-01,urban_mobility,0.7376009911763783,wb_project:P178067,external_direct,A,1,P178067,1,https://projects.worldbank.org/en/projects-operations/project-detail/P178067,projects.worldbank.org,1,1,0,0,0,675000000.0,1.0,explicit
pevt_000038,ARG,2023,2023,2023-01-01,energy_transition,0.718617021154572,wb_project:P178553,external_direct,A,1,P178553,1,https://projects.worldbank.org/en/projects-operations/project-detail/P178553,projects.worldbank.org,1,1,0,0,0,400000000.0,1.0,explicit
pevt_000039,ARG,2023,2023,2023-01-01,urban_mobility,1.0,wb_project:P179668|P180092|P180456,external_direct,A,3,P179668|P180092|P180456,3,https://projects.worldbank.org/en/projects-operations/project-detail/P179668,projects.worldbank.org,1,1,0,0,0,950000000.0,3.0,explicit
pevt_000040,ARG,2023,2023,2023-01-01,urban_services,0.8387723676514169,wb_project:P178534|P179636,external_direct,A,2,P178534|P179636,2,https://projects.worldbank.org/en/projects-operations/project-detail/P178534,projects.worldbank.org,1,1,0,0,0,350000000.0,2.0,explicit
pevt_000041,ARG,2024,2024,2024-01-01,urban_mobility,0.9581796256298516,wb_project:P505179|P506430|P506846,external_direct,A,3,P505179|P506430|P506846,3,https://projects.worldbank.org/en/projects-operations/project-detail/P505179,projects.worldbank.org,1,1,0,0,0,300000000.0,3.0,explicit
pevt_000042,ARG,2024,2024,2024-01-01,urban_services,0.7389204459613984,wb_project:P505675,external_direct,A,1,P505675,1,https://projects.worldbank.org/en/projects-operations/project-detail/P505675,projects.worldbank.org,1,1,0,0,0,700000000.0,1.0,explicit
pevt_000043,ARM,2015,2015,2015-01-01,climate_resilience,0.6945695817752748,wb_project_regional:P151363,external_direct,A,1,P151363,1,https://projects.worldbank.org/en/projects-operations/project-detail/P151363,projects.worldbank.org,1,1,0,0,0,38000000.0,1.0,regional
pevt_000044,ARM,2015,2015,2015-01-01,energy_transition,0.7070520081176588,wb_project:P146199,external_direct,A,1,P146199,1,https://projects.worldbank.org/en/projects-operations/project-detail/P146199,projects.worldbank.org,1,1,0,0,0,52000000.0,1.0,explicit
